station_id,station_name,latitude,longitude,address,regency,province,operator,charger_category,max_power_kw,total_chargers,connectors_summary,source
petaspklu_79,SPKLU PLN UP3 Yogyakarta,-7.809977,110.402461,"Jl. Gedongkuning No.3, Pringgolayan, Banguntapan, Bantul, DIY 55198",Kab Bantul,DI Yogyakarta,PLN,ultrafast,100.0,9,standard 7.0kW x3; ultrafast 100.0kW x3; fast 60.0kW x3,petaspklu.id
petaspklu_283,SPKLU PLN ULP WONOSARI,-7.964085,110.602275,"Jl. Kolonel Sugiyono No.5, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, DIY 55851",Kab Gunungkidul,DI Yogyakarta,PLN,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_291,ISTANA GEDUNG AGUNG YOGYAKARTA (KHUSUS ISTANA NEGARA),-7.80019,110.36387,"Jalan Ahmad Yani, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, DIY 55122",Kota Yogyakarta,DI Yogyakarta,PLN,ultrafast,100.0,1,ultrafast 100.0kW x1,petaspklu.id
petaspklu_292,SPKLU PLN ULP WATES,-7.86604,110.15073,"Jl. KH Ahmad Dahlan, Area Sawah, Wates, Kec. Wates, Kabupaten Kulon Progo, DIY 55651",Kab Kulon Progo,DI Yogyakarta,PLN,ultrafast,100.0,4,medium 22.0kW x2; ultrafast 100.0kW x2,petaspklu.id
petaspklu_422,SPKLU PLN ULP SEDAYU,-7.813045,110.267753,"Jl. Wates KM. 11, Argorejo, Kec. Sedayu, Kabupaten Bantul, DIY 55752",Kab Bantul,DI Yogyakarta,PLN,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_423,SPKLU PLN ULP SLEMAN,-7.715846,110.355664,"JL. Parasamya, Beran, Beran Kidul, Tridadi, Kabupaten Sleman, DIY 55511",Kab Sleman,DI Yogyakarta,PLN,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_424,SPKLU PLN ULP KALASAN,-7.758342,110.478909,"Jl. Raya Solo - Yogyakarta No.Km. 15, Kepatihan, Tamanmartani, Kec. Kalasan, Kab. Sleman, DIY 55571",Kab Sleman,DI Yogyakarta,PLN,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_427,SPKLU Hotel Royal Ambarrukmo Yogyakarta,-7.782375,110.403051,"Jl. Laksda Adisucipto No.81, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, DIY 55281",Kab Sleman,DI Yogyakarta,PLN,ultrafast,100.0,1,ultrafast 100.0kW x1,petaspklu.id
petaspklu_429,SPKLU RISS Hotel Malioboro,-7.787639,110.364401,"Jl. Gowongan Kidul, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Kota Yogyakarta,DI Yogyakarta,PLN,medium,22.0,4,medium 22.0kW x2; medium 22.0kW x2,petaspklu.id
petaspklu_515,SPKLU PLN ULP BANTUL,-7.892746,110.336282,"Jl. Dr. Wahidin Sudiro Husodo, Karangbayam, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",Kab Bantul,DI Yogyakarta,PLN,fast,60.0,1,fast 60.0kW x1,petaspklu.id
petaspklu_974,SPKLU HOTEL MERAPI MERBABU YOGYAKARTA,-7.771306,110.409746,"Jl. Seturan Raya Jl. Raya Kledokan, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Kab Sleman,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_979,SPKLU Hotel KHAS Tugu Yogyakarta,-7.783295,110.363121,"Jl. Pangeran Diponegoro No.99, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Kota Yogyakarta,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_1142,SPKLU TRANSMART YOGYAKARTA,-7.783013,110.42,"Jl. Raya Solo KM. 8 No. 234, Kalongan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Kab Sleman,DI Yogyakarta,PLN,medium,22.0,4,medium 22.0kW x2; medium 22.0kW x2,petaspklu.id
petaspklu_1422,SPKLU PT BAGAS SETTO ANGGORO,-7.802614,110.39848,"Jl. Kebun Raya No.1F, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",Kota Yogyakarta,DI Yogyakarta,PT Bagas Setto Anggoro,medium,25.0,4,medium 22.0kW x2; medium 25.0kW x2,petaspklu.id
petaspklu_1511,SPKLU DRINI HILLS,-8.132166,110.589119,"Jl. Pantai Sel. Jawa, Wonosobo, Banjarejo, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Kab Gunungkidul,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_1512,SPKLU RS Islam Yogyakarta PDHI,-7.776748,110.459227,"Jl. Jogja - Solo No.KM.12,5, Kringinan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Kab Sleman,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_1529,SPKLU HOTEL RAMADA YOGYAKARTA,-7.686151,110.340825,"Jl. Magelang No.KM 14, Jetis, Caturharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55515",Kota Yogyakarta,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_1542,SPKLU HOTEL MORAZEN YOGYAKARTA,-7.886188,110.065531,"Jalan Nasional III Yogyakarta - Purworejo KM 41.5, KM 41.5, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",Kab Kulon Progo,DI Yogyakarta,PLN,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_1641,HOTEL TENTREM YOGYAKARTA,-7.773805,110.368328,"Jl. P. Mangkubumi No.72A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Kota Yogyakarta,DI Yogyakarta,PLN,fast,50.0,1,fast 50.0kW x1,petaspklu.id
petaspklu_1725,SPKLU (ARISTA POWER) BYD JOGJA,-7.755617,110.362198,"Jl. Magelang Km. 5,5, Kutu Tegal, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",Kota Yogyakarta,DI Yogyakarta,Arista Power,fast,60.0,1,fast 60.0kW x1,petaspklu.id
petaspklu_1816,SPKLU CENTER UP3 YOGYAKARTA,-7.810381,110.403557,"Jl. Gedongkuning No.3, Tegal Tandan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198",Kab Bantul,DI Yogyakarta,PLN,ultrafast,200.0,16,ultrafast 200.0kW x4; ultrafast 200.0kW x4; ultrafast 200.0kW x4; ultrafast 120.0kW x4,petaspklu.id
petaspklu_1853,SPKLU EVCITY CENTER UP3 YOGYAKARTA,-7.810381,110.403557,"Jl. Gedongkuning No.3, Tegal Tandan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198",Kab Bantul,DI Yogyakarta,PLN,ultrafast,120.0,1,ultrafast 120.0kW x1,petaspklu.id
petaspklu_1986,SPKLU UCI BENY UP3 YOGYAKARTA,-7.810381,110.403557,"Jl. Gedongkuning No.3, Tegal Tandan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198",Kab Bantul,DI Yogyakarta,PLN,ultrafast,120.0,1,ultrafast 120.0kW x1,petaspklu.id
petaspklu_2054,Hyundai Adisucipto (Khusus Kendaraan Hyundai),-7.783554,110.42815,"Karangploso, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Kab Sleman,DI Yogyakarta,Hyundai,fast,74.0,4,fast 74.0kW x2; fast 74.0kW x2,petaspklu.id
petaspklu_2086,Hyundai Mlati (Khusus Kendaraan Hyundai),-7.757149,110.36226,"Suku Cadang Mitsubishi, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, DIY",Kab Sleman,DI Yogyakarta,Hyundai,fast,74.0,4,fast 74.0kW x2; fast 74.0kW x2,petaspklu.id
petaspklu_2307,(WULING) AJM Yogyakarta,-7.774779,110.430608,"Jl. Ring Road Utara No.67, Nayan, Maguwoharjo, Depok, Sleman, DI Yogyakarta 55282",Kab Sleman,DI Yogyakarta,Wuling,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_2312,(WULING) AJM Mlati,-7.73771,110.363157,"Jl. Magelang, Jongke Tengah, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Kab Sleman,DI Yogyakarta,Wuling,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_2422,Nasmoco Bantul (UFC),-7.8200974,110.324146,"Jl. Ringroad Selatan, Jadan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183",Kab Bantul,DI Yogyakarta,Nasmoco/Toyota,ultrafast,120.0,1,ultrafast 120.0kW x1,petaspklu.id
petaspklu_2475,(PARKING+) Jogja City Mall,-7.753029,110.361249,"Jl. Magelang KM 6 No. 18, Kutu Patran, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",Kab Sleman,DI Yogyakarta,Parking+,medium,22.0,4,medium 22.0kW x2; medium 22.0kW x2,petaspklu.id
petaspklu_2808,(DayaGreen) Hotel New Saphir Yogyakarta,-7.7833018,110.3914009,"Area Parkir Hotel New Saphir, Kota Yogyakarta, Jl. Laksda Adisucipto No.38, Demangan, Kec. Gondokusuman, Kota Yogyakarta, DIY",Kota Yogyakarta,DI Yogyakarta,DayaGreen,standard,7.0,1,standard 7.0kW x1,petaspklu.id
petaspklu_2988,(Terra Charge) Barsa City Yogyakarta,-7.780804,110.412236,"Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Kab Sleman,DI Yogyakarta,Terra Charge,medium,22.0,1,medium 22.0kW x1,petaspklu.id
petaspklu_3058,(iGreen+) 107 Yogyakarta,-7.824175,110.3698,"Brontokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Kota Yogyakarta,DI Yogyakarta,iGreen+,ultrafast,120.0,4,ultrafast 120.0kW x2; ultrafast 120.0kW x2,petaspklu.id
